City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,vadso,70.0744,29.7487,17.49,82,0,2.57,NO,1691444860
276,uvalde,29.3669,-99.767,40.63,23,0,5.66,US,1691444861
277,east london,-33.0153,27.9116,17.85,85,24,6.76,ZA,1691444649
278,nikolayevsk-on-amure,53.1406,140.73,23.16,47,46,1.64,RU,1691444861
279,den burg,53.0542,4.7972,16.66,74,75,6.69,NL,1691444861
280,ciudad lazaro cardenas,17.9583,-102.2,32.08,61,7,5.8,MX,1691444862
281,dien bien phu,21.3833,103.0167,22.67,100,100,0.88,VN,1691444862
282,sassandra,4.95,-6.0833,24.07,90,66,3.63,CI,1691444862
283,kudahuvadhoo,2.6708,72.8944,27.63,77,96,4.11,MV,1691444862
284,ribeira grande,38.5167,-28.7,23.21,84,1,2.68,PT,1691444862
285,mili,6.0815,171.735,25.2,93,100,3.82,MH,1691444862
286,shangzhi,45.2167,127.9667,16.86,93,78,1.1,CN,1691444862
287,broome,42.2506,-75.833,25.25,81,75,3.58,US,1691444863
288,pacocha,-17.5833,-71.3333,20.08,73,100,5.14,PE,1691444863
289,bokoro,12.3807,17.0568,26.76,72,97,1.82,TD,1691444863
290,leh,34.1667,77.5833,15.48,53,12,2.71,IN,1691444863
291,pemangkat,1.1667,108.9667,24.6,90,55,2.32,ID,1691444863
292,fort mcmurray,56.7268,-111.381,20.77,49,20,3.6,CA,1691444727
293,leninskiy,54.2781,37.4558,21.77,68,62,5.09,RU,1691444863
294,sikonge,-5.6333,32.7667,21.25,47,65,3.74,TZ,1691444863
295,qamdo,31.1667,97.2333,4.92,84,12,1.48,CN,1691444864
296,uturoa,-16.7333,-151.4333,25.75,76,90,3.12,PF,1691444864
297,perth,-31.9333,115.8333,17.59,88,0,3.6,AU,1691444736
298,fuyu,45.1833,124.8167,18.32,94,95,1.13,CN,1691444864
299,molchanovo,57.5817,83.7692,10.82,98,38,1.92,RU,1691444864
300,fallsburg,41.732,-74.6013,24.89,93,98,3.12,US,1691444864
301,xinyu,27.8043,114.9334,26.52,93,99,1.11,CN,1691444657
302,nova sintra,14.8667,-24.7167,22.66,77,96,6.55,CV,1691444865
303,westport,41.1415,-73.3579,26.46,84,100,4.92,US,1691444708
304,vavoua,7.3819,-6.4778,22.12,97,100,0.98,CI,1691444865
305,cruzeiro do sul,-29.5128,-51.9853,14.18,92,100,2.36,BR,1691444865
306,lodja,-3.4833,23.4333,25.88,57,84,2.26,CD,1691444865
307,bykovo,55.6361,38.0803,24.2,68,0,6.0,RU,1691444865
308,jinchang,38.4953,102.1739,22.67,46,41,1.71,CN,1691444865
309,bikenibeu village,1.3673,173.1241,28.98,79,75,4.12,KI,1691444865
310,cuenca,-2.8833,-78.9833,19.07,48,75,4.63,EC,1691444751
311,menaka,15.9182,2.4022,34.3,42,7,4.09,ML,1691444866
312,nagqu,31.5,92.0,6.49,91,100,1.26,CN,1691444866
313,klaksvik,62.2266,-6.589,10.51,78,75,5.11,FO,1691444866
314,tiquipaya,-17.3382,-66.2189,23.4,30,20,11.18,BO,1691444866
315,wagar,16.1525,36.2032,32.44,46,60,4.14,SD,1691444866
316,flin flon,54.7682,-101.865,16.91,67,75,3.6,CA,1691444866
317,ried im innkreis,48.2112,13.4886,13.11,91,100,5.01,AT,1691444867
318,al hufuf,25.3646,49.5653,34.19,8,0,2.06,SA,1691444867
319,satuek,15.297,103.2919,27.27,90,100,3.21,TH,1691444867
320,ust'-ordynskiy,52.805,104.7508,13.35,95,21,1.53,RU,1691444867
321,kuanda,56.3161,116.0806,18.47,64,52,0.62,RU,1691444867
322,tabou,4.423,-7.3528,24.36,90,53,4.06,CI,1691444867
323,yaren,-0.5472,166.916,28.25,70,100,2.23,NR,1691444867
324,la ronge,55.1001,-105.2842,21.12,46,75,5.14,CA,1691444867
325,sinabang,2.4803,96.3801,24.42,95,100,5.02,ID,1691444868
326,peace river,56.2501,-117.286,23.17,64,75,2.57,CA,1691444868
327,shambu,9.5667,37.1,10.39,94,77,0.99,ET,1691444868
328,sebring,27.4956,-81.4409,35.84,57,75,3.13,US,1691444868
329,itoman,26.1247,127.6694,27.21,92,75,10.8,JP,1691444868
330,tomatlan,19.9333,-105.25,36.06,45,21,3.16,MX,1691444868
331,mwene-ditu,-7.0,23.45,25.44,29,19,1.9,CD,1691444868
332,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,8.75,EC,1691444870
333,sola,-13.8833,167.55,24.82,78,51,6.4,VU,1691444870
334,san martin,-33.081,-68.4681,18.3,19,85,2.17,AR,1691444870
335,taksimo,56.3444,114.8794,17.43,69,20,0.4,RU,1691444870
336,harstad,68.799,16.5293,14.02,100,100,4.92,NO,1691444870
337,gariaband,20.635,82.0614,23.72,87,100,3.61,IN,1691444870
338,dalhart,36.0595,-102.5133,29.01,42,0,5.66,US,1691444870
339,fada,9.5667,8.3,19.45,97,54,0.21,NG,1691444871
340,taseyevo,57.2169,94.8978,13.37,89,38,1.31,RU,1691444871
341,houghton,47.1219,-88.569,26.17,68,0,5.66,US,1691444871
342,barentu,15.1139,37.5928,21.47,83,87,3.26,ER,1691444871
343,strathmore,51.0501,-113.3852,28.81,33,46,4.02,CA,1691444618
344,filingue,14.3521,3.3168,27.67,70,80,7.33,NE,1691444871
345,kyakhta,50.3508,106.4494,14.47,92,33,1.18,RU,1691444871
